"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","ImmFactor"
"138",77,50,77,77,77,77,25,77,77,77,26,77,77,70,0,"favorable"
"139",100,100,100,100,100,100,100,81,100,50,31,49,50,90,50,"favorable"
"140",76,76,78,51,52,52,57,51,51,51,15,52,87,79,15,"lightly favorable"
"141",50,93,NA,50,NA,90,99,NA,28,NA,24,47,29,95,53,"unfavorable"
"142",54,52,48,56,NA,100,100,NA,100,NA,100,50,NA,100,55,"favorable"
"143",100,100,100,100,86,100,100,31,100,2,78,100,19,89,31,"favorable"
"144",100,86,100,99,100,100,2,69,91,79,2,100,52,90,1,"favorable"
"145",79,95,90,90,21,90,95,31,90,22,85,90,20,93,50,"favorable"
"146",80,90,91,99,79,90,50,79,75,71,35,90,77,69,NA,"lightly favorable"
"147",11,100,40,59,2,68,97,3,37,2,50,52,45,72,NA,"unfavorable"
"148",79,80,80,80,60,80,80,80,80,80,3,80,41,80,1,"favorable"
"149",70,80,80,75,60,80,50,90,90,70,5,38,90,84,2,"favorable"
"150",50,49,NA,76,50,52,25,50,91,50,50,100,33,77,0,"favorable"
"151",75,88,81,81,51,80,81,10,79,3,60,51,5,100,26,"favorable"
"152",78,68,78,75,75,75,0,83,78,69,3,97,88,83,NA,"favorable"
"153",51,50,51,50,31,96,51,20,50,0,22,50,11,75,49,"unfavorable"
"154",42,100,96,32,19,61,100,42,12,0,2,2,0,79,2,"strongly unfaborable"
"155",50,50,50,50,50,60,60,6,31,0,50,37,1,60,91,"unfavorable"
"156",100,100,100,100,100,100,100,100,100,70,40,100,60,100,50,"favorable"
"157",100,100,100,100,100,100,100,100,100,100,0,100,100,61,0,"favorable"
"158",99,94,90,94,76,100,99,25,84,0,80,89,17,100,3,"favorable"
"159",92,75,83,80,91,78,58,89,83,73,32,100,100,99,NA,"favorable"
"160",100,100,100,100,97,100,92,100,100,90,28,100,96,91,43,"favorable"
"161",100,100,100,100,100,98,100,47,50,2,47,100,46,99,NA,"unfavorable"
"162",90,91,90,91,88,90,90,90,90,75,0,90,100,95,0,"favorable"
"163",100,100,NA,100,50,100,75,50,50,6,50,75,50,100,50,"unfavorable"
"164",92,80,92,88,87,92,90,81,76,81,22,78,76,69,48,"favorable"
"165",40,67,67,76,32,67,69,NA,65,NA,50,51,NA,83,41,"lightly favorable"
"166",100,100,100,100,50,27,100,NA,100,NA,50,100,50,100,NA,"favorable"
"167",80,100,100,100,66,100,26,100,100,100,3,100,80,100,2,"favorable"
"168",72,81,84,85,51,76,91,40,69,5,35,51,44,81,50,"lightly favorable"
"169",75,81,58,82,1,81,81,NA,44,NA,51,50,NA,81,86,"unfavorable"
"170",89,88,84,99,57,82,100,52,66,87,18,77,73,100,55,"lightly favorable"
"171",75,75,75,75,75,75,75,10,50,0,75,75,0,80,0,"unfavorable"
"172",99,95,100,98,6,97,98,NA,6,NA,50,28,50,97,49,"strongly unfaborable"
"173",100,100,100,100,100,100,100,100,100,97,4,87,88,77,1,"favorable"
"174",50,50,50,51,50,100,78,10,83,4,47,33,20,0,NA,"favorable"
"175",50,48,78,78,56,78,50,85,82,66,22,78,56,59,19,"favorable"
"176",50,50,50,50,50,50,45,50,50,50,0,50,50,50,0,"unfavorable"
"177",70,62,60,89,59,61,31,61,59,11,30,69,60,31,0,"lightly favorable"
"178",80,75,50,85,15,75,97,20,51,5,51,11,25,95,NA,"lightly favorable"
"179",94,35,88,90,88,94,38,97,85,90,20,95,NA,26,4,"favorable"
"180",100,100,100,100,90,100,60,95,95,70,40,100,70,98,6,"favorable"
"181",50,50,50,50,62,50,51,64,80,5,54,50,41,100,81,"favorable"
"182",50,50,50,50,50,50,50,50,50,NA,50,50,25,50,NA,"unfavorable"
"183",41,50,50,90,0,80,96,1,51,0,51,61,25,81,0,"lightly favorable"
"184",76,76,74,75,77,76,72,78,76,75,50,76,94,75,NA,"favorable"
"185",75,72,76,73,75,79,50,77,79,69,28,80,70,40,9,"favorable"
"186",44,59,41,48,38,45,42,48,50,41,21,81,77,60,4,"unfavorable"
"187",50,50,60,60,0,75,50,25,20,0,0,0,0,75,NA,"strongly unfaborable"
"188",45,45,50,50,50,50,15,50,74,45,20,70,80,40,0,"lightly favorable"
"189",98,90,80,98,76,98,98,50,46,0,45,75,59,99,50,"unfavorable"
"190",73,90,63,84,5,90,32,35,37,5,6,100,67,52,8,"unfavorable"
"191",100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,"favorable"
"192",26,90,26,100,NA,100,100,0,25,NA,70,NA,6,100,NA,"strongly unfaborable"
"193",73,70,67,99,25,88,NA,97,98,98,NA,10,82,NA,NA,"favorable"
"194",80,81,80,80,44,54,46,43,80,19,45,80,71,70,10,"favorable"
"195",75,89,74,69,73,24,70,81,78,83,8,70,62,57,1,"favorable"
"196",100,35,100,100,90,75,25,50,100,75,5,100,100,25,1,"favorable"
"197",80,69,60,67,77,61,61,49,61,71,5,52,11,30,6,"lightly favorable"
"198",5,100,5,21,1,68,95,2,2,1,14,92,6,77,81,"strongly unfaborable"
"199",76,66,78,77,50,71,61,77,81,51,4,91,70,40,3,"favorable"
"200",87,NA,99,90,85,100,89,90,51,90,6,52,81,91,2,"lightly favorable"
"201",99,60,99,99,99,99,30,99,91,90,3,100,78,95,0,"favorable"
"202",50,95,52,78,7,81,85,20,28,1,69,65,23,80,72,"unfavorable"
"203",93,63,100,99,95,97,83,87,97,62,28,99,75,100,13,"favorable"
"204",90,80,94,90,91,90,50,96,90,92,0,100,100,70,0,"favorable"
"205",91,91,100,99,99,96,30,98,99,80,0,100,100,51,0,"favorable"
"206",61,55,78,78,11,59,7,79,79,86,20,97,94,50,4,"favorable"
"207",71,90,55,95,NA,98,100,5,31,NA,31,5,NA,96,NA,"unfavorable"
"208",53,46,50,50,53,52,9,64,50,51,2,53,65,63,1,"unfavorable"
"209",76,75,78,81,NA,100,6,96,93,2,27,74,21,51,NA,"favorable"
"210",97,95,95,94,80,94,94,11,90,0,76,96,3,100,53,"favorable"
"211",75,75,75,75,75,75,45,95,76,95,5,95,95,50,3,"favorable"
"212",89,50,80,90,50,80,50,50,80,50,10,70,50,90,4,"favorable"
"213",91,90,70,81,43,91,91,31,61,NA,36,71,6,90,1,"lightly favorable"
"214",79,83,81,80,49,79,52,53,50,44,53,85,79,55,NA,"unfavorable"
"215",94,49,90,51,89,86,5,73,76,58,0,96,54,40,0,"favorable"
"216",52,51,50,50,50,50,50,92,70,67,6,53,64,66,0,"lightly favorable"
"217",100,50,52,50,52,52,37,99,82,78,4,99,74,41,0,"favorable"
"218",90,81,80,95,21,100,100,36,61,0,50,60,25,100,NA,"lightly favorable"
"219",70,70,70,70,70,70,70,70,70,70,10,70,70,70,10,"lightly favorable"
"220",64,64,82,89,71,73,21,77,81,51,15,90,75,69,4,"favorable"
"221",50,50,50,50,6,50,50,51,50,41,6,50,79,80,50,"unfavorable"
"222",65,65,65,65,40,65,90,50,71,30,50,50,3,95,2,"lightly favorable"
"223",99,48,100,99,99,95,NA,98,98,100,NA,100,98,51,NA,"favorable"
"224",100,50,100,100,81,75,50,100,80,100,1,100,100,51,1,"favorable"
"225",77,80,79,80,80,79,52,80,59,60,4,80,88,90,2,"lightly favorable"
"226",81,79,79,78,55,65,71,36,76,53,20,50,50,86,35,"favorable"
"227",57,55,78,86,5,77,76,59,27,5,5,57,NA,83,56,"unfavorable"
"228",97,90,90,93,11,91,100,NA,31,NA,50,NA,NA,89,NA,"unfavorable"
"229",50,50,50,51,53,53,85,1,9,3,54,51,5,99,50,"strongly unfaborable"
"230",100,100,NA,100,100,100,NA,50,100,10,NA,100,25,100,NA,"favorable"
"231",77,81,52,78,10,80,91,0,75,0,24,26,10,81,53,"lightly favorable"
"232",50,80,50,50,50,50,70,40,51,20,3,50,95,65,1,"lightly favorable"
"233",80,80,80,80,50,80,81,3,50,3,16,80,11,66,31,"unfavorable"
"234",57,79,38,57,6,77,77,20,54,2,65,44,4,81,77,"lightly favorable"
"235",99,79,98,99,95,95,76,97,98,99,34,95,97,80,5,"favorable"
"236",89,89,82,90,22,88,90,4,63,4,79,31,79,91,NA,"lightly favorable"
"237",77,91,53,94,57,97,100,75,72,6,NA,NA,29,100,NA,"lightly favorable"
"238",76,51,51,70,3,100,100,2,43,3,28,4,4,99,50,"unfavorable"
"239",63,86,19,65,19,64,50,15,46,13,51,20,11,78,39,"unfavorable"
"240",78,78,80,95,1,90,100,10,26,0,51,76,10,94,NA,"unfavorable"
"241",81,81,70,79,59,81,79,NA,61,NA,NA,90,NA,100,50,"lightly favorable"
"242",50,50,65,66,30,50,60,40,26,5,50,50,21,80,50,"unfavorable"
"243",67,76,75,72,61,85,74,79,67,74,6,50,100,84,2,"lightly favorable"
"244",53,53,51,62,10,52,81,1,53,2,7,53,31,81,3,"lightly favorable"
"245",50,70,76,81,50,71,51,50,50,21,51,75,51,100,3,"unfavorable"
"246",7,99,57,79,0,NA,95,15,0,NA,75,23,0,99,76,"strongly unfaborable"
"247",98,97,100,99,97,100,100,100,90,75,86,100,98,97,1,"favorable"
"248",10,92,81,93,79,84,92,33,51,0,34,78,8,93,94,"lightly favorable"
"249",61,67,60,55,69,72,55,50,63,20,33,65,37,63,1,"lightly favorable"
"250",51,79,51,50,0,1,71,0,19,0,27,10,0,50,81,"strongly unfaborable"
"251",87,95,90,88,91,94,86,53,91,28,45,94,45,95,41,"favorable"
"252",90,91,90,91,90,90,90,1,100,0,90,51,10,100,50,"favorable"
"253",5,93,9,95,NA,99,100,NA,NA,NA,NA,NA,NA,95,94,NA
"254",95,95,95,95,80,95,95,95,51,5,15,95,15,100,5,"lightly favorable"
"255",9,96,38,63,16,80,87,9,48,5,88,13,33,100,100,"unfavorable"
"256",99,100,50,81,13,100,100,3,52,2,50,51,1,100,100,"lightly favorable"
"257",64,78,76,82,36,61,65,29,68,27,47,51,12,70,50,"lightly favorable"
"258",84,84,84,86,81,87,26,85,83,88,NA,87,98,78,NA,"favorable"
"259",50,50,50,50,50,68,50,0,50,0,0,50,26,85,0,"unfavorable"
"260",50,50,50,50,50,50,51,40,50,31,40,50,50,70,50,"unfavorable"
"261",79,20,73,84,76,87,25,87,81,69,3,92,78,59,NA,"favorable"
"262",100,100,100,100,89,100,100,100,50,30,79,100,30,99,20,"unfavorable"
"263",100,95,90,92,3,91,100,30,55,5,NA,56,14,99,39,"lightly favorable"
"264",9,79,20,50,1,0,51,0,1,1,0,5,2,51,99,"strongly unfaborable"
"265",100,100,100,100,100,100,76,21,100,1,20,100,49,100,3,"favorable"
"266",48,52,30,49,21,49,49,19,48,NA,36,50,20,90,27,"unfavorable"
"267",71,100,100,100,30,100,100,0,60,0,50,50,0,100,50,"lightly favorable"
"268",30,97,91,98,20,100,100,5,90,0,50,48,0,99,100,"favorable"
